user_id,source,email,purchase
7141786820,other,,0
5644686960,email,c129aa540a,0
1914055396,context,,0
4099355752,other,,0
6032477554,context,,1
5872473344,other,,0
7977025176,other,,0
3512872755,other,,0
1827368713,context,,0
8688870165,other,,0
7172802697,other,,0
8623045648,email,d6d19c571c,0
2083224479,context,,0
9819051388,context,,0
9312844109,other,,0
9396302801,other,,0
6331906669,other,,1
6840899645,context,,0
5739438900,email,19379ee49c,0
7486955288,email,09c27794fa,0
3371598805,other,,0
4621852438,context,,0
1397217221,,79ac569f0b,0
6378849222,other,,0
6371752426,other,,0
6692242728,context,,0
4829502187,other,,1
7364229916,context,,0
4790428399,other,,0
808939090,context,,0
3149996649,other,,0
9760359799,other,,0
1028379048,other,,0
7298923004,email,1fe184ed73,0
1366696069,other,,0
3900130868,context,,0
1695140798,other,,0
8960298917,other,,0
579553850,other,,0
6236558508,other,,0
5811232627,other,,0
8993485863,context,,0
1572755675,other,,0
6034222291,email,fb58a27f03,0
6917033819,context,,0
3119028684,other,,0
8200327189,context,,0
9187911792,other,,0
5500585570,other,,0
5062457902,,9ddce3a861,0
9248062594,other,,0
8625203036,other,,1
7860877940,context,,0
6331586375,other,,0
5724351127,other,,0
3988584004,other,,0
5690036640,email,a088a48182,0
6709125805,other,,0
1373091995,other,,0
2069338274,other,,0
8744721527,context,,0
9052871127,other,,0
2724356246,context,,0
6697055472,other,,0
4963633116,other,,1
5594502398,other,,0
9963049355,email,9cc43ebd15,0
3482688368,context,,0
7084473064,other,,0
7818459711,other,,0
3997250471,other,,0
2461644673,other,,0
8392282195,context,,0
8364684017,other,,0
4971245204,other,,0
2712621905,context,,0
7686901492,email,539df283fd,0
852879837,other,,0
2030977330,other,,0
4329843114,context,,0
5585974627,context,,0
7553084563,context,,0
5940658000,other,,0
6171525057,context,,0
2950802860,other,,0
7035465895,other,,0
8771734891,context,,0
3392996918,other,,0
5368472250,context,,0
9571861223,other,,0
1109478456,other,,0
2116114102,other,,0
7142699835,other,,0
6145767725,other,,0
4688361167,context,,0
7002614774,other,,0
5734278074,other,,0
5943702905,other,,0
7531574589,other,,0
9450297626,context,,0
7557066181,email,4687297254,0
9784647385,other,,0
2471045301,other,,0
6005089749,context,,0
2278608366,email,b3e557cc4d,0
7190116716,other,,0
3243170276,context,,0
5316644104,context,,0
706217671,context,,0
5525648544,other,,0
4264247631,email,83c774439b,0
1776356913,other,,0
1605683361,context,,0
4729265075,other,,0
1470656799,other,,0
5881154965,other,,0
1165629115,context,,0
9436564092,other,,0
5418620978,other,,0
9224817572,other,,0
6987735868,context,,0
651472785,other,,0
2647253224,context,,0
2919399009,context,,0
5712251456,other,,0
871209390,other,,0
9208706083,other,,0
1813473086,other,,0
9135495878,other,,0
7383201278,other,,0
8107720889,context,,0
2703564605,other,,0
9813127599,other,,0
5829928067,other,,0
4507842622,other,,0
1026346487,context,,0
3950254087,other,,0
3555246250,other,,0
146521971,other,,0
1014361153,other,,0
6804537668,context,,0
6930063380,other,,0
3584367173,context,,0
1543407293,other,,0
624980980,context,,0
2233575598,other,,0
8060720642,other,,0
1574556049,context,,0
4159689106,context,,0
6850843059,other,,0
6003925485,context,,0
5975416175,other,,0
8352630758,other,,0
9583222811,context,,0
5555562205,other,,0
5283523782,other,,0
7884898135,other,,0
4204375412,other,,0
9928704570,other,,0
5651839440,context,,0
9336727325,context,,0
1422416369,other,,0
9283255830,other,,0
6153159599,other,,1
1541716905,other,,0
5787133115,other,,0
7098553161,context,,0
2456624718,other,,0
7187393845,other,,0
1453815746,context,,0
1950466112,other,,0
6724868284,,c0e48c7cf8,0
3693639142,other,,0
3963530281,other,,0
7292910564,email,aefe3f67c8,0
5584170704,context,,0
5489473574,other,,0
3359319304,other,,0
2599904809,other,,0
6127426518,other,,0
4262675413,other,,0
3597289612,other,,0
6223263149,other,,0
2901674193,other,,0
498453720,other,,0
7348399513,other,,0
111275238,other,,0
687752122,other,,0
2079041705,other,,0
5915429329,other,,1
4357916655,other,,0
5902173933,context,,0
4192600651,context,,0
4613325140,other,,0
747286889,context,,0
7945098833,context,,0
6700414204,other,,0
2474460558,context,,0
7525834251,other,,0
4806687064,other,,0
7494924810,other,,0
1469476957,other,,0
5986650152,email,9176da1ad3,0
5289518512,other,,0
2577252296,email,f750604b79,0
5983231042,context,,0
6716293896,other,,0
9858825573,other,,0
578616947,context,,0
4817692544,other,,0
7115451319,context,,0
3490271629,email,affcb18009,0
5043884356,other,,0
247265936,context,,0
8769373518,other,,0
2130749926,other,,0
5600692309,other,,0
1257823602,other,,0
196797723,other,,0
9793124301,context,,0
9493684354,other,,0
6513189995,other,,0
4669441698,context,,1
4613071904,context,,0
4597103789,other,,0
9899833421,context,,1
7239623213,context,,0
4599061271,other,,0
5632666328,other,,0
4295654539,email,c853962df8,1
9723096766,other,,0
6896229179,context,,0
3289595905,email,0393fcc30f,0
6492970424,context,,0
894794390,other,,0
7612057440,other,,0
2254299945,context,,0
3984065441,other,,0
5570931779,other,,0
8088377790,context,,1
3414531026,other,,0
9155830971,other,,0
5066002812,context,,0
4489112697,other,,0
4933149400,other,,0
4668592410,other,,0
822870685,context,,0
8568621166,other,,0
4044794735,context,,0
2879885194,context,,1
2681438359,other,,0
3969629560,other,,0
7003176599,context,,0
4382178938,other,,0
837344606,context,,0
6040457264,email,ffe64c4d89,0
1181084067,other,,0
2595726370,context,,0
3221384063,,7fe8da1823,0
1420635064,email,2f5b5f32c6,0
6095663546,other,,0
7449896313,email,80e947e249,0
988368870,other,,0
2153803374,other,,0
6675507967,other,,0
7270730204,other,,0
2065701678,context,,0
9430629949,other,,0
8519320351,other,,0
4796700201,other,,0
725721536,context,,0
1772880789,other,,0
9449527180,email,78c6a96183,0
1737991566,email,8d8b0dd9ed,0
2580512805,context,,0
7640923349,email,af32787fa8,0
340532007,other,,0
3782277294,other,,0
6585199517,email,2fc967e782,0
6848165730,other,,0
7063991976,other,,0
3768481083,other,,0
9070555124,other,,0
2534171331,context,,0
1599620180,context,,0
5006210543,other,,0
2384418642,other,,0
3296453576,other,,0
238079235,other,,0
5487733810,other,,0
8613107810,other,,0
4439236028,other,,0
5462411152,other,,0
7103928190,other,,0
1494378439,other,,0
2531112508,context,,0
1571241836,email,c5323fe4a2,1
7967863604,other,,0
3894677927,other,,0
9459244037,other,,0
3933941803,context,,1
3482966268,other,,0
5747009336,other,,0
1956017628,context,,0
2994434597,other,,0
8924899510,other,,0
4167460537,other,,0
6413004479,other,,0
7626103786,context,,0
3473694013,context,,0
6761796417,other,,0
2914143952,other,,0
345140626,other,,0
6984622235,other,,0
2153158849,other,,0
1933788049,other,,0
7486163547,other,,0
531576867,context,,0
3330078945,other,,0
8119257464,other,,0
5916164112,other,,0
9526574189,other,,0
4833661457,context,,0
2115187106,other,,0
8913838559,context,,0
7252901387,other,,0
4911422181,other,,0
5687244831,other,,0
1507350455,other,,0
231195265,context,,0
5560385804,context,,0
6666848987,context,,0
2921913018,context,,0
3721211289,context,,0
3954327701,other,,0
6421104801,other,,0
8639446142,other,,0
1293960774,other,,0
7586539360,context,,0
7290084621,context,,0
898805554,other,,1
1270438636,other,,1
1938669901,other,,0
7447303927,other,,0
3567001211,other,,0
5682860290,other,,0
2876623210,other,,0
2789368725,context,,0
3130262666,other,,0
6270961334,context,,0
8441550153,context,,0
1612981139,context,,0
9775035502,other,,0
4899306597,context,,0
6092949513,other,,1
7508893512,other,,0
6630757185,context,,0
7578186763,email,5bec1ae959,0
6220598775,other,,0
7822797640,other,,0
6934345053,context,,0
7645010881,other,,0
3185374540,context,,0
7542835080,other,,0
5314423714,email,1259adc1c1,0
1399955632,context,,0
8382571062,other,,0
4055465221,other,,0
1680892461,email,28b3fbbf1b,0
7081743168,context,,0
827202337,other,,0
2672478439,context,,0
6023210420,context,,0
4189638050,other,,0
8883824538,other,,0
2323162683,email,d002655b3d,0
